"","name","sq_mi","X","adm1","iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"245","Idaho","83,569",245,13,"USA",2018,62614.6765502371,22668778.2598135
"246","Idaho","83,569",246,13,"USA",2015,46955.9472356277,16260073.0996898
"247","Idaho","83,569",247,13,"USA",2005,41496.2536401219,14543929.6871019
"248","Idaho","83,569",248,13,"USA",2019,44510.7642314448,18842344.771847
"249","Idaho","83,569",249,13,"USA",2008,119977.755601274,36386373.1005113
"250","Idaho","83,569",250,13,"USA",2004,56255.2656782514,21999559.1160543
"251","Idaho","83,569",251,13,"USA",2007,151656.044778721,38097097.9658401
"252","Idaho","83,569",252,13,"USA",2016,100125.843525526,32085111.2547031
"253","Idaho","83,569",253,13,"USA",2006,64520.7291651529,21342812.1380858
"254","Idaho","83,569",254,13,"USA",2001,82913.6660706932,34088828.5352392
"255","Idaho","83,569",255,13,"USA",2020,38232.4172578547,14713265.7027145
"256","Idaho","83,569",256,13,"USA",2009,25548.1630777874,10794424.0794198
"257","Idaho","83,569",257,13,"USA",2010,35175.1664406234,14671631.5807474
"258","Idaho","83,569",258,13,"USA",2011,34922.3260925465,13570845.7797509
"259","Idaho","83,569",259,13,"USA",2012,97776.3317692103,27146839.3632991
"260","Illinois","57,914",260,14,"USA",2020,1278.25315704644,380824.000675142
"261","Illinois","57,914",261,14,"USA",2005,762.833568291828,221750.060553163
"262","Illinois","57,914",262,14,"USA",2009,1260.76148602002,397368.410489352
"263","Illinois","57,914",263,14,"USA",2002,710.98688381984,197029.967777229
"264","Illinois","57,914",264,14,"USA",2001,959.695319467302,266223.741948212
"265","Illinois","57,914",265,14,"USA",2017,2987.45587616385,872259.782004574
"266","Illinois","57,914",266,14,"USA",2013,2418.5190998518,583666.095647454
"267","Illinois","57,914",267,14,"USA",2015,879.074605612755,239896.511685975
"268","Illinois","57,914",268,14,"USA",2010,630.102712654422,186967.331453312
"269","Illinois","57,914",269,14,"USA",2006,688.127749761708,191617.426235942
"270","Illinois","57,914",270,14,"USA",2003,634.034630796556,182347.397779038
"271","Illinois","57,914",271,14,"USA",2018,2112.76704047761,612727.586094761
"272","Illinois","57,914",272,14,"USA",2007,763.370253872494,230210.727306783
"273","Illinois","57,914",273,14,"USA",2014,1085.50204181393,284216.12712621
"274","Illinois","57,914",274,14,"USA",2011,728.945198092649,221628.658117624
"275","Illinois","57,914",275,14,"USA",2008,738.567723050203,218527.733938598
"276","Illinois","57,914",276,14,"USA",2004,590.723017699403,162788.298846419
"277","Illinois","57,914",277,14,"USA",2016,1467.18638814275,420177.637600668
"278","Illinois","57,914",278,14,"USA",2019,1123.78520607842,328713.868610892
"279","Illinois","57,914",279,14,"USA",2012,1421.85036968996,415654.023982724
"280","Indiana","36,420",280,15,"USA",2013,2304.44597669538,692631.753454445
"281","Indiana","36,420",281,15,"USA",2018,2153.7930042886,715741.436119129
"282","Indiana","36,420",282,15,"USA",2006,1100.33191386151,316072.493718878
"283","Indiana","36,420",283,15,"USA",2017,3322.78565526163,1120215.62542152
"284","Indiana","36,420",284,15,"USA",2020,1945.31537956415,670170.852868956
"285","Indiana","36,420",285,15,"USA",2015,1452.37584561301,471182.87111015
"286","Indiana","36,420",286,15,"USA",2014,1395.41884329575,459474.093910347
"287","Indiana","36,420",287,15,"USA",2011,1353.39115992268,436911.38643482
"288","Indiana","36,420",288,15,"USA",2003,499.032808727297,134228.832529986
"289","Indiana","36,420",289,15,"USA",2004,1060.99612874825,306981.582792448
"290","Indiana","36,420",290,15,"USA",2002,485.795447915895,125465.241770718
"291","Indiana","36,420",291,15,"USA",2019,1813.81213799287,621584.188056859
"292","Indiana","36,420",292,15,"USA",2005,952.083799098287,270120.018409855
"293","Indiana","36,420",293,15,"USA",2001,533.538530335794,136857.682004198
"294","Indiana","36,420",294,15,"USA",2009,1184.79020987121,365701.168941527
"295","Indiana","36,420",295,15,"USA",2016,2661.05099903511,884766.061247147
"296","Indiana","36,420",296,15,"USA",2007,1298.94292490841,381494.571530067
"297","Indiana","36,420",297,15,"USA",2010,898.379330835667,281977.419816428
"298","Indiana","36,420",298,15,"USA",2008,1278.71928452716,384542.603307689
"299","Indiana","36,420",299,15,"USA",2012,1945.81334951284,638668.176038951
"300","Iowa","56,273",300,16,"USA",2020,2002.09287875123,665011.175413289
"301","Iowa","56,273",301,16,"USA",2013,982.339124989433,212541.853748343
"302","Iowa","56,273",302,16,"USA",2004,280.956686286002,64130.7646841721
"303","Iowa","56,273",303,16,"USA",2009,243.180267717877,61552.1023308081
"304","Iowa","56,273",304,16,"USA",2016,474.363121529862,118030.864841262
"305","Iowa","56,273",305,16,"USA",2018,1075.20660122571,283539.638621444
"306","Iowa","56,273",306,16,"USA",2001,209.735518850265,46423.1610097158
"307","Iowa","56,273",307,16,"USA",2017,914.261324611525,229220.490802822
"308","Iowa","56,273",308,16,"USA",2003,119.555518239109,26011.5389304009
"309","Iowa","56,273",309,16,"USA",2005,212.245461817354,48264.1977235834
"310","Iowa","56,273",310,16,"USA",2010,268.605142201922,70096.8369930921
"311","Iowa","56,273",311,16,"USA",2006,272.406388375049,64229.7170031752
"312","Iowa","56,273",312,16,"USA",2011,377.329994529242,97252.4149740012
"313","Iowa","56,273",313,16,"USA",2002,161.245085677503,35779.4230541407
"314","Iowa","56,273",314,16,"USA",2007,305.390077882464,71910.6084347195
"315","Iowa","56,273",315,16,"USA",2014,1022.01578116608,240667.258060891
"316","Iowa","56,273",316,16,"USA",2019,660.179398306187,179086.400015751
"317","Iowa","56,273",317,16,"USA",2008,270.659658785448,66384.287994176
"318","Iowa","56,273",318,16,"USA",2015,290.521891336915,72417.7393672919
"319","Iowa","56,273",319,16,"USA",2012,628.129022055231,157142.656780677
"320","Kansas","82,278",320,17,"USA",2009,459.761716357917,95529.3714690511
"321","Kansas","82,278",321,17,"USA",2013,1498.59472213792,289575.176319462
"322","Kansas","82,278",322,17,"USA",2002,501.97351235384,90892.5050439784
"323","Kansas","82,278",323,17,"USA",2007,732.448205317454,150192.3249736
"324","Kansas","82,278",324,17,"USA",2006,478.573560206933,95956.0461010586
"325","Kansas","82,278",325,17,"USA",2011,511.749722367872,108533.283631775
"326","Kansas","82,278",326,17,"USA",2018,748.786715786046,161913.810332833
"327","Kansas","82,278",327,17,"USA",2015,541.683618635582,110874.732091646
"328","Kansas","82,278",328,17,"USA",2014,1410.07402710858,289516.252945988
"329","Kansas","82,278",329,17,"USA",2019,494.496772048713,116017.109201337
"330","Kansas","82,278",330,17,"USA",2017,1056.76523865745,223926.877719632
"331","Kansas","82,278",331,17,"USA",2004,638.392293763973,121328.810159882
"332","Kansas","82,278",332,17,"USA",2012,619.579784868188,130373.968608537
"333","Kansas","82,278",333,17,"USA",2016,1090.84577246451,215805.620071091
"334","Kansas","82,278",334,17,"USA",2005,535.869088109738,103038.1939484
"335","Kansas","82,278",335,17,"USA",2001,774.470141522272,137357.306757736
"336","Kansas","82,278",336,17,"USA",2020,1009.43123097105,258203.741125577
"337","Kansas","82,278",337,17,"USA",2008,735.8898898643,150345.150511657
"338","Kansas","82,278",338,17,"USA",2010,401.152964919746,85145.6110701569
"339","Kansas","82,278",339,17,"USA",2003,295.410324362816,56581.531699239
"340","Kentucky","40,408",340,18,"USA",2019,8487.31993171922,3156198.16305941
"341","Kentucky","40,408",341,18,"USA",2014,9391.79356275634,3308529.98764137
"342","Kentucky","40,408",342,18,"USA",2016,19460.0559825428,7040505.623079
"343","Kentucky","40,408",343,18,"USA",2013,8063.305740827,2665339.84610867
"344","Kentucky","40,408",344,18,"USA",2018,10297.6770661207,3830619.44148013
"345","Kentucky","40,408",345,18,"USA",2020,8507.61950066632,3197973.06271877
"346","Kentucky","40,408",346,18,"USA",2004,13810.251232291,4487090.29799568
"347","Kentucky","40,408",347,18,"USA",2005,15521.2782211484,5153341.6766419
"348","Kentucky","40,408",348,18,"USA",2010,14130.3506382972,4946059.1699095
"349","Kentucky","40,408",349,18,"USA",2009,12423.8363750667,4314305.35463445
"350","Kentucky","40,408",350,18,"USA",2001,12594.677932431,3917047.19538375
"351","Kentucky","40,408",351,18,"USA",2002,8477.51015051246,2660674.40205119
"352","Kentucky","40,408",352,18,"USA",2007,18291.9926057022,6178692.71921352
"353","Kentucky","40,408",353,18,"USA",2017,17463.6289339338,6321296.48311726
"354","Kentucky","40,408",354,18,"USA",2003,8951.06004216553,2933569.72248928
"355","Kentucky","40,408",355,18,"USA",2008,17695.3697395382,6066873.41528972
"356","Kentucky","40,408",356,18,"USA",2015,10563.3606425594,3781422.39920127
"357","Kentucky","40,408",357,18,"USA",2006,14386.1983410918,4761306.59870515
"358","Kentucky","40,408",358,18,"USA",2011,9639.61901219034,3388442.53471888
"359","Kentucky","40,408",359,18,"USA",2012,13030.9867602354,4617623.93274756
"360","Louisiana","52,378",360,19,"USA",2013,82065.723637404,43667093.5951967
