"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",48,2009,54410.643512901814,37032549.843894735
"USA",49,2009,9560.754825907703,3446265.3920185054
"USA",50,2009,21999.33786332315,5192200.407197724
"USA",51,2009,13567.594644365485,4868626.119106841
"USA",1,2010,155723.7624077525,63382376.861414716
"USA",2,2010,517454.63725923735,54901276.84920128
"USA",3,2010,6732.9626555495615,1957160.0549750577
"USA",4,2010,110832.13959950626,46361757.3409363
"USA",5,2010,35659.93644102801,34950894.559400864
"USA",6,2010,22440.6655328518,8266449.607363412
"USA",7,2010,946.8174946740065,344309.7784782795
"USA",8,2010,603.3143531493606,230681.69552344544
"USA",9,2010,9.093985053248577,3005.7175834960894
"USA",10,2010,92909.26391697957,31744626.68863319
"USA",11,2010,166734.10705245033,67972915.72721857
"USA",12,2010,571.3655287066339,246827.640968225
"USA",13,2010,35175.16644062339,14671631.580747357
"USA",14,2010,630.1027126544225,186967.33145331196
"USA",15,2010,898.3793308356672,281977.4198164275
"USA",16,2010,268.6051422019215,70096.83699309206
"USA",17,2010,401.1529649197455,85145.61107015693
"USA",18,2010,14130.350638297235,4946059.169909502
"USA",19,2010,106701.66715334382,47699787.88790393
"USA",20,2010,42049.903249724906,12600982.690941326
"USA",21,2010,2404.0378055822334,898956.1893747038
"USA",22,2010,1879.0507775013937,716004.4708266201
"USA",23,2010,26117.887718660408,6442254.7180991
"USA",24,2010,28322.652472645026,6138356.640648107
"USA",25,2010,127196.94439618451,51116095.62905497
"USA",26,2010,13336.099165768992,3857075.5622748025
"USA",27,2010,34082.14903536686,12910091.203266228
"USA",28,2010,234.2828746539894,56741.38166747162
"USA",29,2010,337.7525654307643,151277.9995846667
"USA",30,2010,8056.18302758523,2990536.7726825355
"USA",31,2010,1439.8159283447496,418572.1088235803
"USA",32,2010,3780.5176529484597,1050779.18986265
"USA",33,2010,6375.867017403202,2104445.3071799753
"USA",34,2010,87075.86781772399,34206637.31201467
"USA",35,2010,386.5629003524515,77979.91314612176
"USA",36,2010,8572.475071076653,2948302.989630274
"USA",37,2010,19935.805753247987,6601587.00947207
"USA",38,2010,70545.88958833153,68298632.08401701
"USA",39,2010,12778.25482237256,4332761.723674079
"USA",40,2010,209.46231617848483,72331.33522840103
"USA",41,2010,89703.61713467159,38132638.60660847
"USA",42,2010,4275.38780129888,1446521.884030168
"USA",43,2010,32570.776777623127,11311341.62302019
"USA",44,2010,105010.70302417126,40597667.43436168
"USA",45,2010,5631.537262563379,1570328.2742308169
"USA",46,2010,3951.9654822960906,1402954.0204964816
"USA",47,2010,59132.330708406065,23423396.63622523
"USA",48,2010,54446.40654449983,40281034.15144614
"USA",49,2010,10474.576184718626,3787289.7899062843
"USA",50,2010,19261.41668749272,4724436.96840002
"USA",51,2010,19262.518138684958,6864456.266328698
"USA",1,2011,150280.16775031813,62760670.17380798
"USA",2,2011,72928.30064892344,10768758.964547038
"USA",3,2011,48466.44658870438,9981224.422769386
"USA",4,2011,87012.0089795006,37499320.87934149
"USA",5,2011,32838.269228680634,30528667.801848054
"USA",6,2011,10406.702237726004,3741285.882635287
"USA",7,2011,500.40787820854774,183071.76307605547
"USA",8,2011,348.04238875170887,138946.45325294745
"USA",9,2011,2.7094114908961564,962.1659719846334
"USA",10,2011,87923.16385116128,30937974.39555555
"USA",11,2011,182227.21204287553,72102156.83199191
"USA",12,2011,268.03448271257014,119376.7907520831
"USA",13,2011,34922.32609254651,13570845.779750912
"USA",14,2011,728.9451980926494,221628.65811762374
"USA",15,2011,1353.3911599226797,436911.38643482013
"USA",16,2011,377.3299945292421,97252.4149740012
"USA",17,2011,511.7497223678718,108533.28363177531
